date, modeltype, features, dataset, thetime, cv_score, macro_prec, macro_recall, macro_f1, params, 
f1_macro2019-09-15_02_47_10, RandomForestClassifier, tfidf and topo feats, ,5,0.053,0.086,0.053,0.052, clf__max_depth-8_clf__n_estimators-16_, 
f1_macro2019-09-15_01_37_23, RandomForestClassifier, tfidf and topo feats, ,1,0.052,0.076,0.056,0.055, clf__max_depth-8_clf__n_estimators-4_, 
f1_macro2019-09-14_23_06_33, LogisticRegression, x_topo_feats, ,4,0.062,0.082,0.109,0.06, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-15_03_01_51, mlp2, topo and code feats, ,21,0.18,0.062,0.098,0.061, d1-17_d2-20_d3-15_num_classes-24_, 
macroF1_2019-09-15_13_32_20, 3_GGNN1, graph, , ,0,0.045,0.1,0.062, aggr_type-mean_d1-60_d2-20_num_classes-10_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_08_51_24, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,3065,0.039,0.045,0.1,0.062, aggr_type-mean_d1-60_d2-10_num_classes-10_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_12_41_18, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,3317,0.039,0.045,0.1,0.062, aggr_type-mean_d1-60_d2-10_num_classes-10_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_09_17_07, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1521,0.062,0.045,0.1,0.062, aggr_type-mean_d1-60_d2-20_num_classes-10_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_05_15_31, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,915,0.055,0.047,0.1,0.064, aggr_type-mean_d1-60_d2-10_num_classes-10_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-15_05_46_15, mlp2, tfidf and topo feats, ,61,0.341,0.081,0.069,0.068, d1-96_d2-20_d3-15_num_classes-171_, 
f1_macro2019-09-15_03_23_33, XGBClassifier, topo and code feats, ,156,0.065,0.086,0.068,0.071, booster-gbtree_max_depth-8_, 
f1_macro2019-09-15_07_15_03, XGBClassifier, topo and code feats, ,146,0.065,0.086,0.068,0.071, booster-gbtree_max_depth-8_, 
f1_macro2019-09-15_03_06_54, mlp2, tfidf and topo feats, ,64,0.335,0.099,0.074,0.074, d1-96_d2-20_d3-15_num_classes-171_, 
f1_macro2019-09-15_11_16_48, XGBClassifier, topo and code feats, ,220,0.071,0.08,0.074,0.075, booster-gbtree_max_depth-150_, 
f1_macro2019-09-15_04_58_32, mlp2, tfidf and topo feats, ,103,0.343,0.089,0.086,0.077, d1-96_d2-20_d3-15_num_classes-171_, 
f1_macro2019-09-15_01_39_29, RandomForestClassifier, tfidf and topo feats, ,1,0.094,0.101,0.075,0.079, clf__max_depth-150_clf__n_estimators-4_, 
f1_macro2019-09-15_09_21_11, RandomForestClassifier, x_topo_feats, ,1,0.105,0.091,0.107,0.096, max_depth-150_n_estimators-16_, 
f1_macro2019-09-15_03_20_48, XGBClassifier, x_topo_feats, ,254,0.109,0.113,0.112,0.109, booster-gbtree_max_depth-150_, 
f1_macro2019-09-15_07_12_35, XGBClassifier, x_topo_feats, ,241,0.109,0.113,0.112,0.109, booster-gbtree_max_depth-150_, 
f1_macro2019-09-15_05_41_52, mlp2, topo and code feats, ,19,0.205,0.13,0.13,0.109, d1-17_d2-20_d3-15_num_classes-24_, 
f1_macro2019-09-15_03_28_21, RandomForestClassifier, x_topo_feats, ,1,0.107,0.126,0.121,0.115, max_depth-150_n_estimators-16_, 
f1_macro2019-09-15_09_31_42, mlp2, topo and code feats, ,106,0.218,0.139,0.142,0.121, d1-17_d2-20_d3-15_num_classes-24_, 
